codigo_reg,localidade,idade,perc,sexo
9,Foz do Iguaçu,35-39,3.76,f
9,Foz do Iguaçu,40-44,3.75,f
9,Foz do Iguaçu,45-49,3.57,f
9,Foz do Iguaçu,50-54,3.5,f
9,Foz do Iguaçu,55-59,3.28,f
9,Foz do Iguaçu,60-64,2.75,f
9,Foz do Iguaçu,65-69,2.12,f
9,Foz do Iguaçu,70-74,1.53,f
9,Foz do Iguaçu,75-79,1.04,f
9,Foz do Iguaçu,80+,1.17,f
16,Apucarana,0-4,3.11,f
16,Apucarana,5-9,3.14,f
16,Apucarana,10-14,3.08,f
16,Apucarana,15-19,3.2,f
16,Apucarana,20-24,3.59,f
16,Apucarana,25-29,3.83,f
16,Apucarana,30-34,3.85,f
16,Apucarana,35-39,3.77,f
16,Apucarana,40-44,3.67,f
16,Apucarana,45-49,3.44,f
16,Apucarana,50-54,3.48,f
16,Apucarana,55-59,3.19,f
16,Apucarana,60-64,2.72,f
16,Apucarana,65-69,2.25,f
16,Apucarana,70-74,1.73,f
16,Apucarana,75-79,1.25,f
16,Apucarana,80+,1.61,f
