bairro,distrito,codigo,População Projetada - Total (Habitante) (2021),Rendimento Nominal Mensal Mediano das Pessoas de 10 Anos ou Mais de Idade - Total (Real),Rendimento Nominal Mensal Mediano das Pessoas de 10 Anos ou Mais de Idade - Com Rendimento  (Real),Rendimento Nominal Mensal Médio das Pessoas de 10 Anos ou Mais de Idade - Total (Real),Rendimento Nominal Mensal Médio das Pessoas de 10 Anos ou Mais de Idade - Com Rendimento (Real)
Seminário,DSPR,29,6.138999999999999,"1.400,00","2.000,00","3.088,78","4.103,10"
São Braz,DSSF,60,24.135,"700,00","1.000,00","1.341,31","1.891,37"
São Francisco,DSMZ,2,5.731,"1.200,00","1.800,00","2.234,31","2.837,30"
São João,DSSF,48,3.65,"700,00","1.000,00","1.816,30","2.567,21"
São Lourenço,DSBV,33,7.218,"1.020,00","2.000,00","2.599,60","3.569,40"
São Miguel,DSCIC,67,4.592,"510,00","700,00","578,00","854,89"
Sítio Cercado,DSBN,65,132.687,"600,00","800,00","726,28","1.066,80"
Taboão,DSBV,49,4.349,"700,00","1.000,00","1.381,97","1.867,66"
Tarumã,DSCJ,19,9.416,"1.000,00","1.960,00","2.100,23","2.973,80"
Tatuquara,DSTQ,74,74.295,"510,00","750,00","590,06","903,64"
Tingui,DSBV,54,13.307,"800,00","1.200,00","1.370,39","1.902,94"
Uberaba,DSCJ,37,87.39,"600,00","1.000,00","1.101,82","1.623,51"
Umbará,DSBN,73,24.141,"600,00","850,00","762,65","1.164,04"
Vila Izabel,DSPR,28,12.475,"1.500,00","2.181,50","2.467,22","3.390,90"
Vista Alegre,DSSF,31,12.86,"810,00","1.500,00","2.036,11","2.898,74"
Xaxim,DSBQ,57,60.442,"700,00","1.000,00","1.040,56","1.532,17"
Água Verde,DSPR,9,53.465,"1.511,00","2.500,00","3.170,07","4.253,57"
