idade,localidade,perc,sexo
20-24,Santa Felicidade,4.11,f
25-29,Santa Felicidade,4.6,f
30-34,Santa Felicidade,4.76,f
35-39,Santa Felicidade,4.51,f
40-44,Santa Felicidade,4.27,f
45-49,Santa Felicidade,3.9,f
50-54,Santa Felicidade,3.33,f
55-59,Santa Felicidade,2.8,f
60-64,Santa Felicidade,2.12,f
65-69,Santa Felicidade,1.5,f
70-74,Santa Felicidade,1.08,f
75-79,Santa Felicidade,0.8,f
80+,Santa Felicidade,0.9,f
0-4,Boa Vista,2.86,f
5-9,Boa Vista,3.0,f
10-14,Boa Vista,3.49,f
15-19,Boa Vista,3.69,f
20-24,Boa Vista,4.3,f
25-29,Boa Vista,4.68,f
30-34,Boa Vista,4.53,f
35-39,Boa Vista,4.12,f
40-44,Boa Vista,4.08,f
45-49,Boa Vista,4.02,f
50-54,Boa Vista,3.55,f
55-59,Boa Vista,2.96,f
60-64,Boa Vista,2.31,f
65-69,Boa Vista,1.65,f
70-74,Boa Vista,1.29,f
75-79,Boa Vista,0.89,f
80+,Boa Vista,1.08,f
0-4,Boqueirão,3.16,f
5-9,Boqueirão,3.31,f
10-14,Boqueirão,3.82,f
15-19,Boqueirão,4.05,f
20-24,Boqueirão,4.37,f
25-29,Boqueirão,4.72,f
30-34,Boqueirão,4.59,f
35-39,Boqueirão,4.22,f
40-44,Boqueirão,3.99,f
45-49,Boqueirão,3.79,f
50-54,Boqueirão,3.24,f
55-59,Boqueirão,2.65,f
60-64,Boqueirão,2.09,f
65-69,Boqueirão,1.43,f
70-74,Boqueirão,1.06,f
75-79,Boqueirão,0.72,f
80+,Boqueirão,0.79,f
0-4,CIC,3.57,f
5-9,CIC,3.68,f
10-14,CIC,4.44,f
15-19,CIC,4.46,f
20-24,CIC,4.72,f
25-29,CIC,4.85,f
30-34,CIC,4.55,f
35-39,CIC,4.16,f
40-44,CIC,3.88,f
45-49,CIC,3.56,f
50-54,CIC,2.98,f
55-59,CIC,2.22,f
60-64,CIC,1.55,f
65-69,CIC,1.07,f
70-74,CIC,0.75,f
75-79,CIC,0.51,f
80+,CIC,0.47,f
0-4,Matriz,1.92,f
5-9,Matriz,1.75,f
10-14,Matriz,2.01,f
15-19,Matriz,3.28,f
20-24,Matriz,5.31,f
25-29,Matriz,5.43,f
30-34,Matriz,4.53,f
35-39,Matriz,3.61,f
40-44,Matriz,3.57,f
45-49,Matriz,4.09,f
50-54,Matriz,4.01,f
55-59,Matriz,3.64,f
60-64,Matriz,2.98,f
65-69,Matriz,2.25,f
70-74,Matriz,1.97,f
75-79,Matriz,1.69,f
80+,Matriz,2.58,f
0-4,Portão,2.59,f
5-9,Portão,2.53,f
10-14,Portão,2.95,f
15-19,Portão,3.49,f
20-24,Portão,4.53,f
25-29,Portão,4.94,f
30-34,Portão,4.59,f
35-39,Portão,3.97,f
40-44,Portão,3.84,f
45-49,Portão,4.17,f
50-54,Portão,3.92,f
55-59,Portão,3.31,f
60-64,Portão,2.54,f
65-69,Portão,1.87,f
70-74,Portão,1.52,f
75-79,Portão,1.22,f
80+,Portão,1.52,f
0-4,Tatuquara,4.37,f
5-9,Tatuquara,4.6,f
10-14,Tatuquara,5.25,f
15-19,Tatuquara,4.94,f
20-24,Tatuquara,4.53,f
25-29,Tatuquara,4.8,f
30-34,Tatuquara,4.77,f
35-39,Tatuquara,4.43,f
40-44,Tatuquara,3.67,f
45-49,Tatuquara,2.96,f
50-54,Tatuquara,2.19,f
55-59,Tatuquara,1.47,f
60-64,Tatuquara,0.95,f
65-69,Tatuquara,0.63,f
70-74,Tatuquara,0.4,f
75-79,Tatuquara,0.26,f
80+,Tatuquara,0.28,f
0-4,Pinheirinho,3.08,f
5-9,Pinheirinho,3.04,f
10-14,Pinheirinho,3.7,f
15-19,Pinheirinho,4.06,f
20-24,Pinheirinho,4.55,f
25-29,Pinheirinho,4.9,f
30-34,Pinheirinho,4.57,f
35-39,Pinheirinho,4.05,f
40-44,Pinheirinho,3.99,f
45-49,Pinheirinho,3.78,f
50-54,Pinheirinho,3.32,f
55-59,Pinheirinho,2.55,f
60-64,Pinheirinho,2.02,f
65-69,Pinheirinho,1.44,f
70-74,Pinheirinho,1.13,f
75-79,Pinheirinho,0.85,f
80+,Pinheirinho,0.83,f
0-4,Cajuru,3.2,f
5-9,Cajuru,3.36,f
10-14,Cajuru,3.9,f
15-19,Cajuru,4.07,f
20-24,Cajuru,4.39,f
25-29,Cajuru,4.56,f
30-34,Cajuru,4.45,f
35-39,Cajuru,4.06,f
40-44,Cajuru,3.9,f
45-49,Cajuru,3.75,f
50-54,Cajuru,3.26,f
55-59,Cajuru,2.63,f
60-64,Cajuru,2.07,f
65-69,Cajuru,1.5,f
70-74,Cajuru,1.09,f
75-79,Cajuru,0.85,f
80+,Cajuru,0.89,f
