bairro,distrito,codigo,População Projetada - Total (Habitante) (2021),Rendimento Nominal Mensal Mediano das Pessoas de 10 Anos ou Mais de Idade - Total (Real),Rendimento Nominal Mensal Mediano das Pessoas de 10 Anos ou Mais de Idade - Com Rendimento  (Real),Rendimento Nominal Mensal Médio das Pessoas de 10 Anos ou Mais de Idade - Total (Real),Rendimento Nominal Mensal Médio das Pessoas de 10 Anos ou Mais de Idade - Com Rendimento (Real),area,densidade
Rebouças,DSMZ,8,13933,1200.0,1800.0,2163.0,2831.0,2.98,4675.503355704698
Riviera,DSCIC,69,402,510.0,800.0,770.0,1170.0,2.36,170.33898305084747
Santa Cândida,DSBV,53,39270,680.0,1000.0,1050.0,1471.0,10.33,3801.548886737657
Santa Felicidade,DSSF,63,39899,800.0,1200.0,1652.0,2352.0,12.27,3251.752241238794
Santa Quitéria,DSPR,43,12540,800.0,1100.0,1462.0,2019.0000000000002,2.09,6000.0
Santo Inácio,DSSF,46,7092,800.0,1200.0,1785.0,2568.0,2.72,2607.3529411764703
Seminário,DSPR,29,6139,1400.0,2000.0,3088.0,4103.0,2.13,2882.1596244131456
São Braz,DSSF,60,24135,700.0,1000.0,1341.0,1891.0,5.01,4817.365269461078
São Francisco,DSMZ,2,5731,1200.0,1800.0,2234.0,2837.0,1.36,4213.970588235294
São João,DSSF,48,3650,700.0,1000.0,1816.0,2567.0,3.03,1204.6204620462047
São Lourenço,DSBV,33,7218,1020.0,2000.0,2599.0,3569.0,2.26,3193.8053097345137
São Miguel,DSCIC,67,4592,510.0,700.0,578.0,854.0,7.0,656.0
Sítio Cercado,DSBN,65,132687,600.0,800.0,726.0,1066.0,11.12,11932.284172661872
Taboão,DSBV,49,4349,700.0,1000.0,1381.0,1867.0,1.72,2528.4883720930234
Tarumã,DSCJ,19,9416,1000.0,1960.0,2100.0,2973.0,4.17,2258.033573141487
Tatuquara,DSTQ,74,74295,510.0,750.0,590.0,903.0,11.23,6615.761353517364
Tingui,DSBV,54,13307,800.0,1200.0,1370.0,1902.0,2.11,6306.635071090048
Uberaba,DSCJ,37,87390,600.0,1000.0,1101.0,1623.0,14.09,6202.271114265436
Umbará,DSBN,73,24141,600.0,850.0,762.0,1164.0,22.47,1074.365821094793
Vila Izabel,DSPR,28,12475,1500.0,2181.0,2467.0,3390.0,1.21,10309.917355371901
Vista Alegre,DSSF,31,12860,810.0,1500.0,2036.0,2898.0,3.69,3485.0948509485097
Xaxim,DSBQ,57,60442,700.0,1000.0,1040.0,1532.0,8.92,6776.008968609865
Água Verde,DSPR,9,53465,1511.0,2500.0,3170.0,4253.0,4.76,11232.142857142857
