,municipio,codigo,area territorial - km^2 (2020),pop estimada - pessoas (2020),densidade demografica - hab/km^2 (2020),IDHM indice de desenvolvimento humano municipal (2010),PIB per capita - reais (2018)
390,Wenceslau Braz,4128500,397.916,19386,48.71882507865982,0.687,28652.64
391,Ventania,4128534,819.334,12088,14.7534460915817,0.65,19565.69
392,Vera Cruz do Oeste,4128559,327.09,8454,25.846097404384118,0.699,29918.57
393,Verê,4128609,311.801,7174,23.008264886899017,0.72,39915.08
394,Alto Paraíso,4128625,967.772,2685,2.774413808211025,0.678,34432.22
395,Doutor Ulysses,4128633,777.482,5552,7.141001335079141,0.546,11111.58
396,Virmond,4128658,243.173,4022,16.539665176643787,0.722,31730.81
397,Vitorino,4128708,308.218,6859,22.253729503143877,0.702,52876.69
398,Xambrê,4128807,359.712,5630,15.65141001690241,0.706,16608.35
399,Paraná,41,199298.982,11516840,57.78674775167693,0.749,38773.0
