codigo,localidade,idade,perc,sexo
4125555,São Manoel do Paraná,15-19,0.02786377708978328,m
4125555,São Manoel do Paraná,20-24,0.02830605926581159,m
4125555,São Manoel do Paraná,25-29,0.03449800973020787,m
4125555,São Manoel do Paraná,30-34,0.03803626713843432,m
4125555,São Manoel do Paraná,35-39,0.03361344537815126,m
4125555,São Manoel do Paraná,40-44,0.03051747014595312,m
4125555,São Manoel do Paraná,45-49,0.03361344537815126,m
4125555,São Manoel do Paraná,50-54,0.038920831490490936,m
4125555,São Manoel do Paraná,55-59,0.03936311366651924,m
4125555,São Manoel do Paraná,60-64,0.03007518796992481,m
4125555,São Manoel do Paraná,65-69,0.022556390977443608,m
4125555,São Manoel do Paraná,70-74,0.020787262273330383,m
4125555,São Manoel do Paraná,75-79,0.0145953118089341,m
4125555,São Manoel do Paraná,80+,0.013710747456877488,m
4107207,Dois Vizinhos,0-4,0.0342691990090834,m
4107207,Dois Vizinhos,5-9,0.033662019721183274,m
4107207,Dois Vizinhos,10-14,0.033176276290863164,m
4107207,Dois Vizinhos,15-19,0.03630932141642784,m
4107207,Dois Vizinhos,20-24,0.04009812017292466,m
4107207,Dois Vizinhos,25-29,0.04235682712391315,m
4107207,Dois Vizinhos,30-34,0.04080244814688881,m
4107207,Dois Vizinhos,35-39,0.03839801816680429,m
4107207,Dois Vizinhos,40-44,0.0351921115266916,m
4107207,Dois Vizinhos,45-49,0.03218050225870695,m
4107207,Dois Vizinhos,50-54,0.03111186671200272,m
4107207,Dois Vizinhos,55-59,0.029581774906494388,m
4107207,Dois Vizinhos,60-64,0.023582843542041095,m
4107207,Dois Vizinhos,65-69,0.018385388837615972,m
4107207,Dois Vizinhos,70-74,0.013843687764122991,m
4107207,Dois Vizinhos,75-79,0.007674746199057658,m
4107207,Dois Vizinhos,80+,0.008646233059697868,m
4104055,Campo Bonito,0-4,0.03416498089458305,m
4104055,Campo Bonito,5-9,0.03326590244998876,m
4104055,Campo Bonito,10-14,0.028770510227017307,m
4104055,Campo Bonito,15-19,0.028545740615868734,m
4104055,Campo Bonito,20-24,0.035513598561474485,m
4104055,Campo Bonito,25-29,0.044279613396268826,m
4104055,Campo Bonito,30-34,0.03753652506181164,m
4104055,Campo Bonito,35-39,0.030343897505057317,m
4104055,Campo Bonito,40-44,0.03596313778377164,m
4104055,Campo Bonito,45-49,0.03438975050573163,m
4104055,Campo Bonito,50-54,0.03596313778377164,m
4104055,Campo Bonito,55-59,0.03236682400539447,m
4104055,Campo Bonito,60-64,0.022027421892560125,m
4104055,Campo Bonito,65-69,0.019554956169925825,m
4104055,Campo Bonito,70-74,0.017307260058440098,m
4104055,Campo Bonito,75-79,0.011912789390874354,m
4104055,Campo Bonito,80+,0.010339402112834345,m
4127403,Terra Roxa,0-4,0.030503747603276975,m
4127403,Terra Roxa,5-9,0.031491488001859275,m
4127403,Terra Roxa,10-14,0.03015513334495381,m
4127403,Terra Roxa,15-19,0.030910464237987333,m
4127403,Terra Roxa,20-24,0.03608157573644762,m
